2025-01-28 06:05:49 status half-installed gcc-14-base:arm64 14.2.0-12
2025-01-28 06:05:49 status unpacked gcc-14-base:arm64 14.2.0-12
2025-01-28 06:05:49 install grep:arm64 <none> 3.11-4+b1
2025-01-28 06:05:49 status half-installed grep:arm64 3.11-4+b1
2025-01-28 06:05:50 status unpacked grep:arm64 3.11-4+b1
2025-01-28 06:05:50 install gzip:arm64 <none> 1.13-1
2025-01-28 06:05:50 status half-installed gzip:arm64 1.13-1
2025-01-28 06:05:50 status unpacked gzip:arm64 1.13-1
2025-01-28 06:05:51 install hostname:arm64 <none> 3.25
2025-01-28 06:05:51 status half-installed hostname:arm64 3.25
2025-01-28 06:05:51 status unpacked hostname:arm64 3.25
2025-01-28 06:05:51 install init-system-helpers:all <none> 1.68+kali2
2025-01-28 06:05:51 status half-installed init-system-helpers:all 1.68+kali2
2025-01-28 06:05:51 status unpacked init-system-helpers:all 1.68+kali2
2025-01-28 06:05:51 install libacl1:arm64 <none> 2.3.2-2+b1
2025-01-28 06:05:51 status half-installed libacl1:arm64 2.3.2-2+b1
2025-01-28 06:05:51 status unpacked libacl1:arm64 2.3.2-2+b1
2025-01-28 06:05:52 install libapt-pkg6.0t64:arm64 <none> 2.9.23
2025-01-28 06:05:52 status half-installed libapt-pkg6.0t64:arm64 2.9.23
2025-01-28 06:05:52 status unpacked libapt-pkg6.0t64:arm64 2.9.23
2025-01-28 06:05:52 install libattr1:arm64 <none> 1:2.5.2-2
2025-01-28 06:05:52 status half-installed libattr1:arm64 1:2.5.2-2
2025-01-28 06:05:52 status unpacked libattr1:arm64 1:2.5.2-2
2025-01-28 06:05:53 install libaudit-common:all <none> 1:4.0.2-2
2025-01-28 06:05:53 status half-installed libaudit-common:all 1:4.0.2-2
2025-01-28 06:05:53 status unpacked libaudit-common:all 1:4.0.2-2
2025-01-28 06:05:53 install libaudit1:arm64 <none> 1:4.0.2-2+b1
2025-01-28 06:05:53 status half-installed libaudit1:arm64 1:4.0.2-2+b1
2025-01-28 06:05:53 status unpacked libaudit1:arm64 1:4.0.2-2+b1
2025-01-28 06:05:53 install libblkid1:arm64 <none> 2.40.4-1
2025-01-28 06:05:53 status half-installed libblkid1:arm64 2.40.4-1
2025-01-28 06:05:53 status unpacked libblkid1:arm64 2.40.4-1
2025-01-28 06:05:54 install libbsd0:arm64 <none> 0.12.2-2
2025-01-28 06:05:54 status half-installed libbsd0:arm64 0.12.2-2
2025-01-28 06:05:54 status unpacked libbsd0:arm64 0.12.2-2
2025-01-28 06:05:54 install libbz2-1.0:arm64 <none> 1.0.8-6
2025-01-28 06:05:54 status half-installed libbz2-1.0:arm64 1.0.8-6
2025-01-28 06:05:54 status unpacked libbz2-1.0:arm64 1.0.8-6
2025-01-28 06:05:54 install libc-bin:arm64 <none> 2.40-3
2025-01-28 06:05:54 status half-installed libc-bin:arm64 2.40-3
2025-01-28 06:05:55 status unpacked libc-bin:arm64 2.40-3
2025-01-28 06:05:55 upgrade libc6:arm64 2.40-3 2.40-3
2025-01-28 06:05:55 status half-configured libc6:arm64 2.40-3
2025-01-28 06:05:55 status unpacked libc6:arm64 2.40-3
2025-01-28 06:05:55 status half-installed libc6:arm64 2.40-3
2025-01-28 06:06:02 status unpacked libc6:arm64 2.40-3
2025-01-28 06:06:02 install libcap-ng0:arm64 <none> 0.8.5-4
2025-01-28 06:06:02 status half-installed libcap-ng0:arm64 0.8.5-4
2025-01-28 06:06:02 status unpacked libcap-ng0:arm64 0.8.5-4
2025-01-28 06:06:02 install libcap2:arm64 <none> 1:2.66-5+b1
2025-01-28 06:06:02 status half-installed libcap2:arm64 1:2.66-5+b1
